name,lat,lon,region,country,conflict_date,population,location_type
1347883341,50.6153263,3.3323718,xyz,xyz,0,0,town
1347883378,50.6141255,3.3293026,xyz,xyz,0,0,town
1347883513,50.61359,3.3253518,xyz,xyz,0,0,town
1377598079,50.8012796,3.2547691,xyz,xyz,0,0,town
1455771309,50.5997226,3.1353625,xyz,xyz,0,0,town
1455771409,50.6047021,3.1319748,xyz,xyz,0,0,town
1455771448,50.6012043,3.1364674,xyz,xyz,0,0,town
1462313679,50.8356922,3.2193342,xyz,xyz,0,0,town
1462313684,50.8359545,3.2197142,xyz,xyz,0,0,town
1462313688,50.8359668,3.2195336,xyz,xyz,0,0,town
1462313701,50.8361636,3.2197735,xyz,xyz,0,0,town
1514799101,50.5516952,3.5127076,xyz,xyz,0,0,town
1514799115,50.5519208,3.5130599,xyz,xyz,0,0,town
1514799119,50.5519698,3.513312,xyz,xyz,0,0,town
1514799123,50.552218,3.5131475,xyz,xyz,0,0,town
1514799125,50.5531416,3.5145273,xyz,xyz,0,0,town
1514799138,50.5533348,3.5140916,xyz,xyz,0,0,town
1528494834,50.5151982,3.2088157,xyz,xyz,0,0,town
1578362941,50.6023809,3.2666883,xyz,xyz,0,0,town
1589971170,50.5312939,3.6099364,xyz,xyz,0,0,town
1589979062,50.6290903,3.4211649,xyz,xyz,0,0,town
1599822909,50.5786661,3.4820525,xyz,xyz,0,0,town
1599823024,50.5830203,3.4808964,xyz,xyz,0,0,town
1599823222,50.6141128,3.3233197,xyz,xyz,0,0,town
1599823230,50.6145757,3.3251475,xyz,xyz,0,0,town
1599823372,50.6485989,3.2978278,xyz,xyz,0,0,town
1599823380,50.6487853,3.2981675,xyz,xyz,0,0,town
