osm_id,osm_type,capacity,isced_level,amenity,name,longitude,latitude,geom_type
"6126601789",nodes,,,school,Razapur Sundorbon Govt Primary School,89.807471,22.3495995,POINT
"5983656062",nodes,,,school,Middle Dhanshagor Govt Primary School,89.799065,22.3765152,POINT
"5843982697",nodes,,,school,North Bastola Keratul Quran Noorani Karimi Madrasa,89.6484187,22.4440731,POINT
"5886825472",nodes,,,school,Khantakata Union Secondary School,89.8652458,22.3458784,POINT
"9592480861",nodes,,,school,Ulail Model High School,89.8835656,23.965161,POINT
"9592457852",nodes,,,school,Mohadebpur Girls High School,89.8834836,23.8519992,POINT
"9592457851",nodes,,,school,Mohadebpur Govt Priamry School,89.8910978,23.848367,POINT
"9592480873",nodes,,,school,Upzila Kendrio Abul Gani High School,89.8232343,23.8461695,POINT
"9592480872",nodes,,,school,Aricha Belayet Hossain High School,89.7850228,23.8362364,POINT
"6357502746",nodes,,,school,Hefz Bivhag,89.2937542,23.478577,POINT
"9603772501",nodes,,,school,Govt Primary School,89.399166,23.5294089,POINT
"2803872772",nodes,,,school,Wazir Ali High School,89.1773916,23.545291,POINT
"9592457854",nodes,,,school,Paturia Adarsha High School,89.4341901,23.6686191,POINT
"9592025003",nodes,,,school,Mohammad Ali Academy,89.415242,23.6856688,POINT
"9592025004",nodes,,,school,Laribari Adorsha High School,89.4300076,23.6850478,POINT
"7416551009",nodes,,,school,Bakshadangi Govt. Primary School,89.4724105,23.6413979,POINT
"9592024996",nodes,,,school,Hossan Danga Nilufar Rafique High School,89.3490281,23.7717099,POINT
"9592024993",nodes,,,school,Kazi Abdul Majed Academy,89.3984443,23.7819165,POINT
"2805666418",nodes,,,school,Magura Government Girls High School,89.4203807,23.4913258,POINT
"2809034237",nodes,,,school,Bunagati Primary School,89.4246001,23.3121881,POINT
"9702439948",nodes,,,school,34 No. Char Chandpur Govt. Primary School,89.7499396,23.6756392,POINT
"9702430538",nodes,,,school,Udaypur Girls Ideal Academy,89.6759546,23.6426605,POINT
"9702439947",nodes,,,school,Khan Khanapur Tamiz Uddin Khan Girls High School,89.7107354,23.6946178,POINT
"2426548564",nodes,,,university,Primary Teacher Training Institute,89.8258062,23.6001487,POINT
"2393814299",nodes,,,college,Jessore Commerce College,89.2205191,23.1728774,POINT
"9579940158",nodes,,,school,Govt Primary School,89.436946,23.0999514,POINT
"9586300355",nodes,,,school,Churamonkati High School,89.1656992,23.2157896,POINT
"9524622106",nodes,,,school,Dhakaijora Hazi Korban Ali Memorial Institute,89.8897573,23.7999443,POINT
"7451536967",nodes,,,school,৩৮ নং দড়িকান্দি সরকারি প্রাথমিক বিদ্যালয়,89.9573669,23.73769,POINT
"9586300334",nodes,,,school,ABCD Degree College,89.0293368,23.3181005,POINT
"9603778638",nodes,,,school,Churamonkati Govt Primary School,89.1642243,23.2307331,POINT
"9586300325",nodes,,,school,Danbaksho Primary School,88.9859481,23.2742589,POINT
"9705513317",nodes,,,school,Cheuria High School,89.1513219,23.8937434,POINT
"9705513318",nodes,,,school,Mohini Mohan Vidyapith,89.1481997,23.8974776,POINT
"9705618006",nodes,,,school,Naturiya Girls High School,89.1554189,23.8133208,POINT
"9706366710",nodes,,,,Islamic University Laboratory School and College,89.1516998,23.7267253,POINT
"9705293760",nodes,,,school,Fokir Kandi Girls High School,89.6388539,23.8765989,POINT
