,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
96,96,-26,0.0014279437609842072,-793,-0.7961847389558232,-41,0.0,0,0.0,-805,0.02692217651583545,-108,0.007013897908819566,-738,0.22182146077547338,-1574,0.025311163284340465,-911,-0.0922905480701044,-310,0.020459345300950393,0.011713181844568155,-5306,0
97,97,-25,0.0013157894736843812,-806,-0.7909715407262023,-45,0.0,0,0.0,-819,0.027175896738228678,-111,0.007099456347937183,-762,0.22903516681695227,-1558,0.024861569885266666,-945,-0.09576408593433314,-304,0.019782651135550222,0.011355241370526015,-5375,0
98,98,-27,0.0013642564802179846,-821,-0.787907869481766,-49,0.0,0,0.0,-844,0.02790451629967594,-115,0.00724592023186954,-766,0.23023745115719874,-1568,0.02483055678723023,-948,-0.0960973137354284,-323,0.02073037674090239,0.011487307312221806,-5461,0
99,99,-28,0.0013603459165330012,-850,-0.7981220657276997,-54,0.0,0,0.0,-888,0.02909758175502991,-118,0.0073260073260073,-796,0.23925458370904717,-1567,0.024627135425670632,-941,-0.09541675116609191,-338,0.02139782223347686,0.011747375487143108,-5580,0
100,100,-26,0.0012163742690057822,-852,-0.7830882352941175,-58,0.0,0,0.0,-878,0.028621723823184286,-123,0.007525697503671158,-816,0.24526600541027954,-1598,0.024925908594602975,-957,-0.09705882352941159,-352,0.021984885391293507,0.01183112088506122,-5660,0
101,101,-29,0.001308310024361603,-890,-0.801080108010801,-63,0.0,0,0.0,-884,0.028648280779077717,-123,0.007418576598311355,-838,0.25187856928163516,-1617,0.025034059945504117,-965,-0.09789996956477642,-356,0.021940096141994325,0.011711066320211794,-5765,0
102,102,-31,0.0013502918372680917,-901,-0.7945326278659612,-64,0.0,0,0.0,-897,0.028863789941113938,-133,0.007908663852054465,-836,0.2512774271115119,-1638,0.025171730210686416,-949,-0.09630606860158308,-336,0.020436713095310477,0.011740990274836327,-5785,0
103,103,-34,0.0014315789473685614,-914,-0.7899740708729472,-69,0.0,0,0.0,-927,0.02972297037322036,-140,0.00820969917316594,-848,0.2548842801322513,-1678,0.025597217561094676,-944,-0.09582783473759005,-356,0.021373679154659153,0.012199174063701523,-5910,0
104,104,-35,0.0014261847520475879,-944,-0.8,-73,0.0,0,0.0,-954,0.030457825170806474,-142,0.008213314824454754,-892,0.24646828975052604,-1640,0.024835314605890835,-926,-0.09401969743121136,-363,0.02151621125007397,0.011800673653573068,-5969,0
105,105,-38,0.0015000197371015656,-967,-0.803823773898587,-76,0.0,0,0.0,-943,0.02963917525773191,-151,0.008615770854730198,-920,0.19657348963029764,-1612,0.024234770581514242,-902,-0.09161080641885039,-388,0.022708650357017413,0.010663006145274045,-5997,0
106,106,-41,0.0015693779904306648,-985,-0.8027709861450694,-79,0.0,0,0.0,-946,0.029530201342281792,-155,0.008726494764103032,-951,0.14998497144574685,-1633,0.02437386190632551,-823,-0.08361271969927886,-405,0.023409051499913236,0.010262401356103013,-6018,0
107,107,-43,0.0015975627879327714,-1005,-0.7932123125493293,-80,0.0,0,0.0,-893,0.02757108894995214,-160,0.008889876652961703,-980,0.10279531109107311,-1645,0.024496664284012315,-697,-0.0708333333333333,-410,0.02354292276772907,0.009704828024321599,-5913,0
108,108,-46,0.0016601703479139918,-1010,-0.7721712538226297,-81,0.0,0,0.0,-899,0.027695625385089462,-170,0.009322731011790375,-1009,0.0550045085662758,-1671,0.024826909933735486,-557,-0.05661719861760517,-418,0.023846197729476937,0.009785550697480772,-5861,0
109,109,-47,0.0016491228070175667,-1015,-0.7529673590504451,-84,0.0,0,0.0,-949,0.029365349506451754,-168,0.009095338638947625,-1028,0.004207995190862679,-1670,0.024755410613697126,-406,-0.04128113879003559,-433,0.024542311398288108,0.009927278215325797,-5800,0
110,110,-48,0.0016387286197123707,-1019,-0.7336213102951765,-87,0.0,0,0.0,-867,0.02634057420628899,-169,0.009033568526833236,-1055,-0.042380522993688,-1713,0.025334989795012808,-264,-0.026851098454027722,-444,0.025004223686433402,0.009566837911221926,-5666,0
111,111,-48,0.0015955855466543989,-1018,-0.7123862841147659,-93,0.0,0,0.0,-880,0.02662068548265112,-179,0.009448902027026973,-1085,-0.08926961226330023,-1755,0.02589717860937324,-144,-0.014650523959711226,-449,0.025124503385373087,0.009648506922351197,-5651,0
