#name1,#name2,distance,forced_redirection
Abaji,Gwagwalada,47.44,0
Abuja Municipal Area Council,Camp(1),9.84,0
Abuja Municipal Area Council,Bwari,30.48,0
Abuja Municipal Area Council,Karu,36.86,0
Bwari,Camp(1),30.78,0
Bwari,Tafa,29.33,0
Gwagwalada,Suleja,46.68,0
Gwagwalada,Gurara,87.32,0
Gwagwalada,Tafa,47.99,0
Kuje,Kwali,51.89,0
Kuje,Camp(1),72.22,0
Kuje,Abuja Municipal Area Council,61.44,0
Kwali,Lapai,76.23,0
Akko,Billiri,70.41,0
Akko,Gombe,52.44,0
Akko,Yamaltu/Deba,62.73,0
Balanga,Kaltungo,58.24,0
Balanga,Guyuk,66.21,0
Balanga,Lamurde,78.86,0
Billiri,Shomgom,47.0,0
Billiri,Kaltungo,51.71,0
Dukku,Kwami,68.39,0
Funakaye,Gulani,57.09,0
Funakaye,Nafada,45.63,0
Funakaye,Kwami,89.82,0
Gombe,Kwami,57.36,0
Gombe,Yamaltu/Deba,45.24,0
Kaltungo,Shomgom,46.72,0
Kwami,Yamaltu/Deba,71.79,0
Nafada,Fika,43.13,0
Nafada,Gulani,63.15,0
Shomgom,Balanga,66.86,0
Abo-Mbaise,Zangon-Kataf,76.38,0
Abo-Mbaise,Camp(13),77.41,0
Abo-Mbaise,Kachia,56.06,0
Ahiazu-Mbaise,Obowo,12.59,0
Ahiazu-Mbaise,Ezinihitte,13.08,0
Ahiazu-Mbaise,Ikeduru,16.18,0
Ehime-Mbano,Ihitte/Uboma,18.33,0
Ehime-Mbano,Isiala-Mbano,13.22,0
Ehime-Mbano,Unuimo,24.8,0
Ezinihitte,Obowo,13.93,0
Ideato North,Ideato South,8.43,0
Ideato North,Orlu,21.78,0
Ideato North,Unuimo,15.68,0
Ideato South,Nkwerre,9.35,0
Ideato South,Unuimo,13.66,0
Ihitte/Uboma,Obowo,15.25,0
Ikeduru,Isiala-Mbano,21.3,0
Ikeduru,Owerri North,18.04,0
Isiala-Mbano,Nwangele,11.76,0
Isiala-Mbano,Nkwerre,14.48,0
Isu,Njaba,13.05,0
Isu,Nwangele,9.85,0
Isu,Nkwerre,10.06,0
Mbaitoli,Isu,13.93,0
Mbaitoli,Njaba,16.65,0
Mbaitoli,Owerri Municipal,14.5,0
Ngor-Okpala,Owerri North,14.18,0
Ngor-Okpala,Owerri West,32.58,0
Ngor-Okpala,Owerri Municipal,27.96,0
Njaba,Oru East,7.39,0
Njaba,Oru West,16.47,0
Nkwerre,Nwangele,4.88,0
Oguta,Oru West,21.7,0
Oguta,Oru East,21.17,0
Oguta,Ihiala,21.56,0
Ohaji/Egbema,Owerri West,21.77,0
Ohaji/Egbema,Owerri Municipal,26.54,0
Ohaji/Egbema,Ogba - Egbema - Ndoni,28.13,0
Okigwe,Unuimo,14.28,0
Okigwe,Ehime-Mbano,30.03,0
Orlu,Orsu,13.52,0
Orlu,Nkwerre,14.41,0
Orlu,Ideato South,21.38,0
Oru East,Oru West,6.69,0
Oru East,Isu,19.13,0
Owerri Municipal,Owerri West,15.26,0
Owerri Municipal,Owerri North,16.02,0
Owerri North,Owerri West,21.28,0
Auyo,Hadejia,26.74,0
Auyo,Kafin Hausa,24.91,0
Auyo,Malam Madori,36.73,0
Babura,Baure,61.52,0
Babura,Dambatta,36.44,0
Babura,Yankwashi,41.3,0
Biriniwa,Machina,102.79,0
Biriniwa,Kiri Kasama,55.92,0
Biriniwa,Guri,57.65,0
Birnin Kudu,Buji,51.72,0
Birnin Kudu,Dutse,41.59,0
Birnin Kudu,Takai,46.29,0
Buji,Kiyawa,49.7,0
Dutse,Kiyawa,38.74,0
Dutse,Takai,39.45,0
Gagarawa,Gumel,34.54,0
Gagarawa,Maigatari,52.11,0
Gagarawa,Kaugama,48.08,0
Garki,Sule Tankarkar,37.11,0
Garki,Ringim,57.19,0
Garki,Taura,47.36,0
Gumel,Sule Tankarkar,27.72,0
Gumel,Maigatari,49.63,0
Guri,Nguru,36.72,0
Guri,Kiri Kasama,25.61,0
Gwaram,Giade,40.93,0
Gwiwa,Kazaure,30.41,0
Gwiwa,Roni,30.12,0
Gwiwa,Ingawa,33.47,0
Hadejia,Malam Madori,30.62,0
Hadejia,Kiri Kasama,28.85,0
Jahun,Miga,24.36,0
Jahun,Kiyawa,46.77,0
Jahun,Taura,59.88,0
Kaugama,Malam Madori,57.72,0
Kaugama,Maigatari,26.56,0
Kazaure,Roni,18.21,0
Kazaure,Yankwashi,41.21,0
Miga,Auyo,40.58,0
Miga,Kafin Hausa,47.48,0
Ringim,Ajingi,41.89,0
Ringim,Gabasawa,40.34,0
Roni,Kunchi,28.92,0
Roni,Makoda,23.35,0
Sule Tankarkar,Gagarawa,58.76,0
Taura,Gagarawa,50.25,0
Taura,Ringim,35.3,0
Yankwashi,Zango,39.54,0
Yankwashi,Baure,45.79,0
Birnin-Gwari,Muya,109.46,0
Birnin-Gwari,Giwa,105.59,0
Birnin-Gwari,Sabuwa,98.51,0
Chikun,Kaduna South,10.48,0
Chikun,Kaduna North,20.96,0
Chikun,Muya,68.86,0
Giwa,Muya,112.35,0
Giwa,Sabuwa,53.81,0
Giwa,Dandume,80.79,0
Igabi,Kaduna North,30.16,0
Igabi,Kaduna South,36.0,0
Igabi,Zaria,56.62,0
Ikara,Makarfi,35.29,0
Ikara,Kiru,34.92,0
Ikara,Bebeji,37.79,0
Jaba,Jema'A,47.78,0
Jaba,Kagarko,60.68,0
Jaba,Kaura,63.33,0
Jema'A,Sanga,88.87,0
Jema'A,Kaura,57.01,0
Kachia,Kagarko,61.81,0
Kachia,Kajuru,111.31,0
Kaduna North,Kaduna South,10.89,0
Kagarko,Bwari,60.62,0
Kagarko,Tafa,61.89,0
Kajuru,Abo-Mbaise,57.07,0
Kajuru,Kauru,178.8,0
Kaura,Riyom,51.72,0
Kaura,Camp(13),47.54,0
Kauru,Lere,77.54,0
Kauru,Abo-Mbaise,173.66,0
Kubau,Doguwa,77.44,0
Kubau,Soba,48.81,0
Kubau,Kauru,91.61,0
Kudan,Sabon-Gari,27.05,0
Kudan,Makarfi,35.16,0
Kudan,Zaria,42.01,0
Lere,Bassa,83.23,0
Lere,Kubau,123.07,0
Makarfi,Rogo,26.17,0
Sabon-Gari,Zaria,23.63,0
Sabon-Gari,Makarfi,41.19,0
Sanga,Akwanga,33.55,0
Sanga,Wamba,59.63,0
Soba,Ikara,55.55,0
Soba,Zaria,58.66,0
Zangon-Kataf,Camp(13),1.1,0
Zangon-Kataf,Kaura,46.5,0
Ajingi,Gaya,18.91,0
Ajingi,Warawa,41.19,0
Albasu,Gaya,21.98,0
Albasu,Takai,28.18,0
Albasu,Garko,32.09,0
Bagwai,Bichi,22.79,0
Bagwai,Shanono,31.82,0
Bagwai,Tsanyawa,37.41,0
Bebeji,Garum Mallam,23.51,0
Bebeji,Rano,49.27,0
Bebeji,Kiru,43.83,0
Bichi,Dawakin Tofa,17.14,0
Bichi,Tofa,41.42,0
